#USM,MCMA_IP
Syracuse,2001:4888:a18:3143:1b1:292:0:101
Rochester,2001:4888:a19:3143:1b4:292:0:201
Rochester,2001:4888:a19:3143:1b4:292:0:101
Syracuse,2001:4888:a18:3143:1b1:292:0:201
Windsor,2001:4888:a13:3143:123:292:0:101
Westborough,2001:4888:a12:3143:106:292:0:201
Westborough,2001:4888:a12:3143:106:292:0:101
Windsor,2001:4888:a13:3143:123:292:0:201
Duff,2001:4888:a37:3143:3a7:292:0:a101
Columbus,2001:4888:a36:3143:3a2:292:0:a201
Rocklin,2001:4888:a61:3143:604:292:0:a101
Sunnyvale,2001:4888:a68:3143:608:292:0:a201
Yonkers,2001:4888:a1c:3143:168:292:0:a101
Farmingdale,2001:4888:a1d:3143:161:292:0:a201
Richmond,2001:4888:a1b:3143:1d1:292:0:a101
Roanoke,2001:4888:a1a:3143:1d2:292:0:a201
Memphis,2001:4888:a45:3143:432:292:0:a101
Tulsa,2001:4888:a46:3143:430:292:0:a201
Houston3,2001:4888:a43:3143:422:292:0:b101
Baton_Rouge,2001:4888:a42:3143:420:292:0:b201
Wilmington,2001:4888:a14:3143:196:292:0:a101
Plymouth_Meeting,2001:4888:a15:3143:194:292:0:a201
Branchburg,2001:4888:a10:3143:132:292:0:101
Wall,2001:4888:a11:3143:137:292:0:201
Euless,2001:4888:a47:3143:406:292:0:101
Schertz,2001:4888:a41:3143:404:292:0:201
Charlotte,2001:4888:a20:3143:201:292:0:101
Nashville,2001:4888:a22:3143:208:292:0:201
Bloomington,2001:4888:a3a:3143:304:292:0:101
Omaha,2001:4888:a39:3143:308:292:0:201
Westland,2001:4888:a34:3143:386:292:0:101
Lodge,2001:4888:a35:3143:383:292:0:201
Houston3,2001:4888:a43:3143:422:292:0:a101
Westborough,2001:4888:a12:3143:106:292:0:1001
Johnstown,2001:4888:a3b:3143:3c2:292:0:001
Westborough_Tiny2,2001:4888:a12:3143:106:292:0:01
Westborough_Tiny2,2001:4888:a12:3143:106:292:0:00
Colorado_Springs,2607:f160:8a05:a100:e0:292::1001
Southlake,2607:f160:8a03:a19d:c0:292::2001
Southlake,2607:f160:8a03:a1a9:c0:292::1001
Colorado_Springs,2607:f160:8a05:a10a:e0:292::2001
Branchburg,2607:f160:8a02:a0fe:a0:292::1001
Twinsburg,2607:f160:8a09:a091:b1:292::2001
Twinsburg,2607:f160:8a09:a0d4:b1:292::1001
Branchburg,2607:f160:8a02:a114:a0:292::2001
Colorado_Springs,2607:f160:8a05:a1d9:e0:292::1001
Southlake,2607:f160:8a03:a1fc:c0:292::2001
Southlake,2607:f160:8a03:a200:c0:292::1001
Colorado_Springs,2607:f160:8a05:a1d5:e0:292::2001
Branchburg,2607:f160:8a02:a258:a0:292::1001
Twinsburg,2607:f160:8a09:a0e6:b1:292::2001
Twinsburg,2607:f160:8a09:a0ea:b1:292::1001
Branchburg,2607:f160:8a02:a254:a0:292::2001
Colorado_Springs,2607:f160:8a05:a1db:e0:292::1001
Southlake,2607:f160:8a03:a1fe:c0:292::2001
Southlake,2607:f160:8a03:a202:c0:292::1001
Colorado_Springs,2607:f160:8a05:a1d7:e0:292::2001
Branchburg,2607:f160:8a02:a25a:a0:292::1001
Twinsburg,2607:f160:8a09:a0e8:b1:292::2001
Twinsburg,2607:f160:8a09:a0ec:b1:292::1001
Branchburg,2607:f160:8a02:a256:a0:292::2001
Las_Vegas,2001:4888:a67:3143:643:292::a100
Sacramento,2001:4888:a61:3143:604:292::a100
Westborough_CICD,2001:4888:a12:3143:106:292:00

